crate,slot,channel,cable,pmt,pc,qccc,bundle,hv,type,x,y,z,panel
0,3,13,EDPR,POZI,JNAW,AM19,GAOY,1849,0x00,726.742,135.878,-400.186,H286-04
0,3,14,EDPQ,POJM,JNAV,AM18,GAOY,1860,0x00,711.971,146.77,-423.298,H286-03
0,3,15,EDPP,PPCB,JNAU,AM17,GAOY,1860,0x00,733.792,107.203,-399.331,H286-02
0,3,16,EDPO,PPFF,JODB,AM16,GAOY,1862,0x00,719.007,118.111,-422.456,H286-01
0,3,17,EDRK,PNYF,JODA,AM15,GAPE,1869,0x00,720.045,280.523,-333.278,H289-07
0,3,18,EDRJ,PNHC,JOCZ,AM14,GAPE,1857,0x00,732.521,206.962,-356.434,H289-06
0,3,19,EDRI,PNOB,JOCY,AM13,GAPE,1851,0x00,723.401,235.032,-356.434,H289-05
0,3,20,EDRH,POFX,JOCX,AM12,GAPE,1859,0x00,714.266,263.118,-356.446,H289-04
0,3,21,EDRG,PLOS,JOCW,AM11,GAPE,1869,0x00,717.648,217.652,-379.599,H289-03
0,3,22,EDRF,PNIK,JOCV,AM10,GAPE,1864,0x00,708.514,245.738,-379.611,H289-02
0,3,23,EDRE,PMYH,JOCU,AM09,GAPE,1854,0x00,702.756,228.335,-402.75,H289-01
0,3,24,EDRD,POAD,JNDV,AM08,GAPD,1872,0x00,725.837,297.933,-306.235,H288-14
0,3,25,EDRC,PIWO,JNDU,AM07,GAPD,1871,0x00,734.971,269.847,-306.223,H288-13
0,3,26,EDRB,PJCS,JNDT,AM06,GAPD,1872,0x00,744.092,241.777,-306.223,H288-12
0,3,27,EDRA,PJBU,JNDS,AM05,GAPD,1867,0x00,753.22,213.672,-306.228,H288-11
0,3,28,EDQZ,PJHX,JNDR,AM04,GAPD,1868,0x00,762.34,185.603,-306.228,H288-10
0,3,29,EDQY,PIUW,JNDQ,AM03,GAPD,1863,0x00,738.803,286.621,-282.221,H288-09
0,3,30,EDQX,PJAU,JNDP,AM02,GAPD,1854,0x00,747.938,258.534,-282.209,H288-08
0,3,31,EDQW,PJHS,JNDO,AM01,GAPC,1865,0x00,757.052,230.446,-282.226,H288-07
0,4,0,EDQV,PIYA,JNFZ,AL32,GAPC,1863,0x00,766.186,202.36,-282.214,H288-06
0,4,1,EDQU,PIZJ,JNFY,AL31,GAPC,1869,0x00,751.77,275.308,-258.207,H288-05
0,4,2,EDQT,PIXG,JNFX,AL30,GAPC,1867,0x00,760.883,247.22,-258.224,H288-04
0,4,3,EDQS,PIZH,JNFW,AL29,GAPC,1859,0x00,770.018,219.133,-258.212,H288-03
0,4,4,EDQR,PJAA,JNFV,AL28,GAPC,1855,0x00,764.735,264.001,-234.237,H288-02
0,4,5,EDQQ,PJIA,JNFU,AL27,GAPC,1870,0x00,773.87,235.914,-234.225,H288-01
0,4,6,EDQP,PJEH,JNFT,AL26,GAPB,1860,0x00,684.614,245.088,-425.021,H287-14
0,4,7,EDQO,POXA,JNFS,AL25,GAPB,1871,0x00,690.144,262.606,-401.878,H287-13
0,4,8,EDQN,PJMT,JNFJ,AL24,GAPB,1865,0x00,695.702,280.096,-378.753,H287-12
0,4,9,EDQM,PJYR,JNFI,AL23,GAPB,1870,0x00,701.225,297.596,-355.627,H287-11
0,4,10,EDQL,PMKK,JNFH,AL22,GAPB,1857,0x00,706.775,315.121,-332.498,H287-10
0,4,11,EDQK,PJXG,JNFG,AL21,GAPB,1844,0x00,673.442,272.425,-424.154,H287-09
0,4,12,EDQJ,PMKC,JNFF,AL20,GAPB,1865,0x00,678.965,289.925,-401.027,H287-08
0,4,13,EDQI,,JNFE,AL19,GAPA,0,0x00,684.523,307.415,-377.903,H287-07
0,4,14,EDQH,PIWB,JNFD,AL18,GAPA,1864,0x00,690.067,324.921,-354.791,H287-06
0,4,15,EDQG,PJMP,JNFC,AL17,GAPA,1863,0x00,662.263,299.744,-423.303,H287-05
0,4,16,EDQF,PJNY,JLYT,AL16,GAPA,1857,0x00,667.807,317.25,-400.191,H287-04
0,4,17,EDQE,PJTT,JLYS,AL15,GAPA,1862,0x00,673.365,334.74,-377.067,H287-03
0,4,18,EDQD,PIUM,JLYR,AL14,GAPA,1854,0x00,651.105,327.069,-422.467,H287-02
0,4,19,EDQC,PJQK,JLYQ,AL13,GAPA,1858,0x00,656.663,344.559,-399.342,H287-01
0,4,20,EDTD,PNMU,JLYP,AL12,GAPL,1855,0x00,716.605,404.146,-180.352,H292-14
0,4,21,EDTC,PNVF,JLYO,AL11,GAPL,1861,0x00,716.615,388.609,-205.47,H292-13
0,4,22,EDTB,PNTV,JLYN,AL10,GAPL,1872,0x00,716.615,373.093,-230.576,H292-12
0,4,23,EDTA,POAB,JLYM,AL09,GAPL,1860,0x00,716.611,357.561,-255.715,H292-11
0,4,24,EDSZ,PNNJ,JNEL,AL08,GAPL,1854,0x00,716.611,342.045,-280.821,H292-10
0,4,25,EDSY,PPHJ,JNEK,AL07,GAPL,1867,0x00,729.512,377.589,-181.297,H292-09
0,4,26,EDSX,PNZQ,JNEJ,AL06,GAPL,1869,0x00,729.523,362.052,-206.415,H292-08
0,4,27,EDSW,PNHB,JNEI,AL05,GAPK,1868,0x00,729.508,346.541,-231.542,H292-07
0,4,28,EDSV,PNWH,JNEH,AL04,GAPK,1858,0x00,729.519,331.004,-256.66,H292-06
0,4,29,EDSU,PNJL,JNEG,AL03,GAPK,1870,0x00,742.42,351.032,-182.242,H292-05
0,4,30,EDST,PNMW,JNEF,AL02,GAPK,1867,0x00,742.406,335.52,-207.369,H292-04
0,4,31,EDSS,PNME,JNEE,AL01,GAPK,1865,0x00,742.416,319.984,-232.487,H292-03
0,5,0,EDSR,PNNZ,JMAH,AK32,GAPK,1860,0x00,755.321,324.514,-183.205,H292-02
0,5,1,EDSQ,PNWY,JMAG,AK31,GAPK,1850,0x00,755.331,308.978,-208.323,H292-01
0,5,2,EDSB,POQY,JMAF,AK30,GAPH,1871,0x00,699.387,350.446,-312.141,H290-14
0,5,3,EDSA,POVX,JMAE,AK29,GAPH,1851,0x00,684.81,376.075,-310.413,H290-13
0,5,4,EDRZ,PONF,JMAD,AK28,GAPH,1863,0x00,670.262,401.699,-308.707,H290-12
0,5,5,EDRY,POMK,JMAC,AK27,GAPH,1867,0x00,655.67,427.332,-307,H290-11
0,5,6,EDRX,PNWD,JMAB,AK26,GAPH,1851,0x00,641.111,452.976,-305.282,H290-10
0,5,7,EDRW,PGWX,JMAA,AK25,GAPH,1853,0x00,682.827,359.575,-334.813,H290-09
0,5,8,EDRV,POVE,JNGH,AK24,GAPH,1856,0x00,668.246,385.188,-333.117,H290-08
0,5,9,EDRU,POPC,JNGG,AK23,GAPG,1866,0x00,653.687,410.832,-331.399,H290-07
0,5,10,EDRT,PIYC,JNGF,AK22,GAPG,1861,0x00,639.12,436.441,-329.683,H290-06
0,5,11,EDRS,PIZR,JNGE,AK21,GAPG,1850,0x00,666.263,368.688,-357.517,H290-05
0,5,12,EDRR,PNEW,JNGD,AK20,GAPG,1852,0x00,651.686,394.317,-355.789,H290-04
0,5,13,EDRQ,PJAV,JNGC,AK19,GAPG,1859,0x00,637.119,419.926,-354.073,H290-03
0,5,14,EDRP,PGYN,JNGB,AK18,GAPG,1872,0x00,649.713,377.797,-380.2,H290-02
0,5,15,EDRO,PJCL,JNGA,AK17,GAPG,1855,0x00,635.136,403.426,-378.472,H290-01
0,5,16,EDTK,PJDY,JLZR,AK16,GAPM,1853,0x00,701.146,417.406,-205.909,H293-07
0,5,17,EDTJ,PLMJ,JLZQ,AK15,GAPM,1867,0x00,686.391,396.372,-279.685,H293-06
0,5,18,EDTI,PLTA,JLZP,AK14,GAPM,1870,0x00,686.391,411.888,-254.578,H293-05
0,5,19,EDTH,PCXI,JLZO,AK13,GAPM,1850,0x00,686.38,427.425,-229.46,H293-04
0,5,20,EDTG,PLHC,JLZN,AK12,GAPM,1854,0x00,671.657,421.917,-278.118,H293-03
0,5,21,EDTF,PDPH,JLZM,AK11,GAPM,1851,0x00,671.647,437.454,-253,H293-02
0,5,22,EDTE,PLNM,JLZL,AK10,GAPM,1869,0x00,656.905,447.447,-276.543,H293-01
0,5,23,ENTP,PPAS,JLZK,AK09,GCEP,1862,0x00,594.106,382.179,-452.273,H072-07
0,5,24,ENTO,PPNO,JNGX,AK08,GCEP,1863,0x00,607.867,356.24,-455.393,H072-06
0,5,25,ENTN,PPND,JNGW,AK07,GCEP,1856,0x00,600.023,399.284,-428.94,H072-05
0,5,26,ENTM,PPMD,JNGV,AK06,GCEP,1852,0x00,613.789,373.365,-432.09,H072-04
0,5,27,ENTL,PPLI,JNGU,AK05,GCEP,1870,0x00,627.551,347.426,-435.21,H072-03
0,5,28,ENTK,,JNGT,AK04,GCEP,0,0x00,619.682,390.494,-408.766,H072-02
0,5,29,ENTJ,PPNA,JNGS,AK03,GCEP,1863,0x00,633.444,364.555,-411.886,H072-01
0,5,30,EDSP,PLSA,JNGR,AK02,GAPJ,1854,0x00,641.113,475.623,-268.635,H291-14
0,5,31,EDSO,PLGW,JNGQ,AK01,GAPJ,1856,0x00,655.676,465.692,-244.921,H291-13
0,6,0,EDSN,PGJP,JMCL,AJ32,GAPJ,1851,0x00,670.253,455.762,-221.248,H291-12
0,6,1,EDSM,PDMY,JMCK,AJ31,GAPJ,1867,0x00,684.802,445.836,-197.554,H291-11
0,6,2,EDSL,PKHF,JMCJ,AJ30,GAPJ,1872,0x00,699.383,435.92,-173.849,H291-10
0,6,3,EDSK,PNXP,JMCI,AJ29,GAPJ,1851,0x00,639.121,490.055,-242.933,H291-09
0,6,4,EDSJ,PORX,JMCH,AJ28,GAPJ,1850,0x00,653.67,480.129,-219.239,H291-08
0,6,5,EDSI,POPU,JMCG,AJ27,GAPI,1871,0x00,668.247,470.198,-195.566,H291-07
0,6,6,EDSH,POQO,JMCF,AJ26,GAPI,1864,0x00,682.814,460.287,-171.882,H291-06
0,6,7,EDSG,POKJ,JMCE,AJ25,GAPI,1851,0x00,637.114,504.492,-217.251,H291-05
0,6,8,EDSF,,JNET,AJ24,GAPI,0,0x00,651.681,494.581,-193.566,H291-04
0,6,9,EDSE,POKZ,JNES,AJ23,GAPI,1856,0x00,666.259,484.65,-169.894,H291-03
0,6,10,EDSD,,JNER,AJ22,GAPI,0,0x00,635.126,518.944,-191.579,H291-02
0,6,11,EDSC,POCC,JNEQ,AJ21,GAPI,1855,0x00,649.703,509.013,-167.906,H291-01
0,6,12,EERI,PJYB,JNEP,AJ20,GATG,1854,0x00,558.596,491.674,-392.972,H341-07
0,6,13,EERH,PPNM,JNEO,AJ19,GATG,1858,0x00,613.503,453.932,-352.16,H341-06
0,6,14,EERG,PPOB,JNEN,AJ18,GATG,1857,0x00,594.59,460.82,-373.765,H341-05
0,6,15,EERF,PPNC,JNEM,AJ17,GATG,1856,0x00,575.678,467.708,-395.371,H341-04
0,6,16,EERE,PJXR,JNGP,AJ16,GATG,1866,0x00,611.659,436.859,-376.185,H341-03
0,6,17,EERD,PJTI,JNGO,AJ15,GATG,1871,0x00,592.746,443.747,-397.791,H341-02
0,6,18,EERC,,JNGN,AJ14,GATG,0,0x00,609.811,419.766,-400.181,H341-01
0,6,19,EEQY,PNHN,JNGM,AJ13,GATE,1863,0x00,615.35,504.17,-274.532,H340-07
0,6,20,EEQX,PNFX,JNGL,AJ12,GATE,1860,0x00,575.666,562.808,-241.52,H340-06
0,6,21,EEQW,PNHG,JNGK,AJ11,GATE,1856,0x00,594.578,540.404,-245.021,H340-05
0,6,22,EEQV,PMWD,JNGJ,AJ10,GATE,1866,0x00,613.49,517.999,-248.521,H340-04
0,6,23,EEQU,PMNS,JNGI,AJ09,GATE,1861,0x00,592.75,554.243,-218.999,H340-03
0,6,24,EEQT,PMYV,JNID,AJ08,GATE,1859,0x00,611.662,531.838,-222.499,H340-02
0,6,25,EEQS,PNPC,JNIC,AJ07,GATE,1859,0x00,609.801,545.667,-196.488,H340-01
0,6,26,EESX,PPLE,JNIB,AJ06,GATN,1873,0x00,533.702,605.63,-237.851,H344-07
0,6,27,EESW,PJSY,JNIA,AJ05,GATN,1856,0x00,532.571,629.378,-163.422,H344-06
0,6,28,EESV,PJPR,JNHZ,AJ04,GATN,1854,0x00,540.375,615.012,-188.012,H344-05
0,6,29,EESU,PJTZ,JNHY,AJ03,GATN,1862,0x00,548.178,600.646,-212.601,H344-04
0,6,30,EEST,PJZY,JNHX,AJ02,GATN,1853,0x00,554.86,610.016,-162.782,H344-03
0,6,31,EESS,PJSD,JNHW,AJ01,GATN,1858,0x00,562.664,595.65,-187.372,H344-02
0,7,0,EESR,PJTQ,JERN,AI32,GATN,1850,0x00,577.125,590.646,-162.116,H344-01
0,7,1,ECOM,PFWR,JERM,AI31,GAKO,1858,0x07,672.266,84.077,501.227,H231-21
0,7,2,ECOL,PFWU,JERL,AI30,GAKO,1869,0x07,657.503,104.413,516.746,H231-20
0,7,3,ECOK,PFWC,JERK,AI29,GAKO,1867,0x07,687.16,91.977,476.969,H231-19
0,7,4,ECOJ,PGAC,JERJ,AI28,GAKO,1865,0x07,672.388,112.284,492.506,H231-18
0,7,5,ECOI,PGJH,JERI,AI27,GAKO,1872,0x07,657.625,132.62,508.024,H231-17
0,7,6,ECOH,PGBJ,JERH,AI26,GAKO,1863,0x07,702.044,99.849,452.728,H231-16
0,7,7,ECOG,PFZE,JERG,AI25,GAKO,1882,0x07,687.282,120.185,468.247,H231-15
0,7,8,ECVN,PBXQ,JELB,AI24,GALR,1883,0x02,831.483,80.575,-101.86,H245-07
0,7,9,ECVM,PDUU,JELA,AI23,GALR,1883,0x02,834.414,97.766,-25.71,H245-06
0,7,10,ECVL,PEYC,JEKZ,AI22,GALR,1867,0x02,834.414,82.25,-50.816,H245-05
0,7,11,ECVK,PESJ,JEKY,AI21,GALR,1882,0x02,834.413,66.71,-75.932,H245-04
0,7,12,ECVJ,PENM,JEKX,AI20,GALR,1886,0x02,837.37,68.394,-24.911,H245-03
0,7,13,ECVI,PCBU,JEKW,AI19,GALR,1866,0x02,837.369,52.854,-50.027,H245-02
0,7,14,ECVH,PDWB,JEKV,AI18,GALR,1872,0x02,840.301,39.023,-24.113,H245-01
0,7,15,ECUE,PEWF,JEKU,AI17,GALM,1876,0x07,829.432,146.297,5.138,H242-14
0,7,16,ECUD,PFJI,JEAH,AI16,GALM,1825,0x07,832.496,116.927,5.722,H242-13
0,7,17,ECUC,PEXV,JEAG,AI15,GALM,1829,0x07,835.585,87.579,6.317,H242-12
0,7,18,ECUB,PFKM,JEAF,AI14,GALM,1887,0x07,838.647,58.2,6.924,H242-11
0,7,19,ECUA,PJKA,JEAE,AI13,GALM,1819,0x07,841.736,28.828,7.509,H242-10
0,7,20,ECTZ,PFJT,JEAD,AI12,GALM,1824,0x07,830.212,132.041,30.978,H242-09
0,7,21,ECTY,PFJS,JEAC,AI11,GALM,1842,0x07,833.275,102.684,31.596,H242-08
0,7,22,ECTX,PFAH,JEAB,AI10,GALL,1847,0x07,836.364,73.313,32.181,H242-07
0,7,23,ECTW,PEZG,JEAA,AI09,GALL,1836,0x07,839.428,43.967,32.774,H242-06
0,7,24,ECTV,PEPH,JDRZ,AI08,GALL,1837,0x07,830.991,117.798,56.852,H242-05
0,7,25,ECTU,PEXY,JDRY,AI07,GALL,1823,0x07,834.054,88.428,57.436,H242-04
0,7,26,ECTT,PFLA,JDRX,AI06,GALL,1853,0x07,837.118,59.081,58.03,H242-03
0,7,27,ECTS,PFOD,JDRW,AI05,GALL,1886,0x07,831.771,103.565,82.702,H242-02
